Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0603,4,2.2uF,C106853
"C10, C11, C8, C9",1206,4,10 uF,C96600
"C12, C13, C18",0603,3,0.1uF,C106215
"C14, C15, C16, C17",CP_Elec_10x10,4,150 uF,C5246570
"C19, C20",1206,2,47 uF,C96123
"C21, C22, C23, C24, C41, C42, C44, C45",0603,8,100nF,C113803
"C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40",0402,16,100pF,C576700
D1,D_SOD-128,1,PMEG10030ELPX,C5260346
"D10, D11, D12, D13, D14, D15, D16, D17, D2, D3, D4, D5, D6, D7, D8, D9",D_SMA,16,SMAJ51CA,C135003
F1,0679H9120-05,1,0679H9120-05,
J1,raspberrypi,1,Raspberry Pi GPIO Header,NULL
"J10, J11, J12, J13, J14, J16, J17, J18, J19, J7, J8, J9",S3B-XH-SM4-TB,12,S3B-XH-SM4-TB,C161860
J15,2601-1102,1,2601-1102,
"J3, J4, J5, J6",JST_XH_S4B-XH-SM4-TB_1x04-1MP_P2.50mm_Horizontal_custom,4,S4B-XH-SM4-TB,C161861
"L1, L10, L11, L12, L13, L14, L15, L16, L17, L18, L3, L4, L5, L6, L7, L8, L9",0402,17,BBUP00100505330Y00,C668299
L2,SRR1210-8R2Y,1,8.2 uH,
"R1, R9",0603,2,2.2K,C114662
"R10, R11, R12, R13, R14, R15, R16, R18, R21, R38, R39, R40, R41, R50, R51, R52, R53, R70, R77, R79, R81, R82, R85, R93, R94, R95, R97, R99",0603,28,100K,C728638
R17,0603,1,49.9K,
R19,0603,1,17.8K,C185364
"R2, R20, R24, R25, R28, R29, R3, R32, R33, R36, R37, R4, R5, R6, R7, R8, R92, R96, R98",0603,19,1K,C22548
"R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69",0603,16,150R,C114608
RP4,raspberrypi-outline,1,Raspberry_Pi,
U1,LV14360PDDAR,1,LV14360PDDAR,C2864599
"U2, U3, U4, U5",BTT_TMC2209_V1.3,4,TMC2209_SILENTSTEPSTICK,NULL
"U6, U7",DRV8235RTER,2,DRV8235RTER,C22397078
