Designator,Mid X,Mid Y,Rotation,Layer
C1,141.4,-37.0,0.0,top
C10,121.8,-47.4,180.0,top
C11,126.0,-63.4,90.0,top
C12,118.4,-44.2,90.0,top
C13,126.0,-60.0,180.0,top
C14,138.0,-48.0,0.0,top
C15,159.0,-48.0,0.0,top
C16,180.0,-48.0,0.0,top
C17,201.0,-48.0,0.0,top
C18,120.0,-64.0,0.0,top
C19,116.0,-82.0,0.0,top
C2,162.4,-37.0,0.0,top
C20,124.0,-82.0,180.0,top
C21,147.2,-58.2,90.0,top
C22,168.2,-58.2,90.0,top
C23,189.2,-58.2,90.0,top
C24,210.2,-58.2,90.0,top
C25,139.0,-86.8,270.0,top
C26,160.0,-86.8,270.0,top
C27,181.0,-86.8,270.0,top
C28,202.0,-86.8,270.0,top
C29,143.0,-86.8,270.0,top
C3,183.4,-37.0,0.0,top
C30,164.0,-86.8,270.0,top
C31,185.0,-86.8,270.0,top
C32,206.0,-86.8,270.0,top
C33,135.0,-86.8,270.0,top
C34,156.0,-86.8,270.0,top
C35,177.0,-86.8,270.0,top
C36,198.0,-86.8,270.0,top
C37,131.0,-86.8,270.0,top
C38,152.0,-86.8,270.0,top
C39,173.0,-86.8,270.0,top
C4,204.4,-37.0,0.0,top
C40,194.0,-86.8,270.0,top
C41,67.75,-40.0,0.0,top
C42,52.75,-40.0,0.0,top
C44,64.0,-37.4,180.0,top
C45,49.0,-37.4,180.0,top
C8,81.475,-93.0,0.0,top
C9,126.0,-56.6,270.0,top
D1,114.0,-60.0,90.0,top
D10,136.0,-82.0,90.0,top
D11,157.0,-82.0,90.0,top
D12,178.0,-82.0,90.0,top
D13,199.0,-82.0,90.0,top
D14,132.0,-82.0,90.0,top
D15,153.0,-82.0,90.0,top
D16,174.0,-82.0,90.0,top
D17,195.0,-82.0,90.0,top
D2,140.0,-82.0,90.0,top
D3,161.0,-82.0,90.0,top
D4,182.0,-82.0,90.0,top
D5,203.0,-82.0,90.0,top
D6,144.0,-82.0,90.0,top
D7,165.0,-82.0,90.0,top
D8,186.0,-82.0,90.0,top
D9,207.0,-82.0,90.0,top
