Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C15, C16, C17, C19, C2, C20, C21, C22, C24, C25, C26, C27, C29, C3, C30, C31, C32, C4, C5, C6, C7, C8, C9",0402,25,100pF,
"C10, C11, C12",CP_Elec_10x10,3,180 uF,
"C13, C18, C23, C28",0603,4,100nF,
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",D_SMA,16,SMAJ51CA,
J1,MOLEX_430450409,1,430450409,
"J10, J3, J4, J5, J6, J8",JST_XH_S4B-XH-SM4-TB_1x04-1MP_P2.50mm_Horizontal_custom,6,JST-XH,
"J11, J12, J13, J14, J16, J17, J7, J9",JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal_custom,8,JST PH,
J2,raspberrypi,1,Raspberry Pi GPIO Header,
"JP1, JP10, JP11, JP12, JP13, JP14, JP15, JP16, JP2, JP3, JP4, JP5, JP6, JP7, JP8, JP9",SolderJumper-2_P1mm_UnBridged_Pad1.6x1.6mm,16,NULL,
"L1, L10, L11, L12, L13, L14, L15, L16, L2, L3, L4, L5, L6, L7, L8, L9",0402,16,BBUP00100505330Y00,
"R1, R10, R15, R16, R2, R21, R22, R27, R28, R3, R33, R34, R4, R5, R6, R7, R8, R9",0603,18,1K,
"R11, R12, R13, R14, R17, R18, R19, R20, R23, R24, R25, R26, R29, R30, R31, R32",0603,16,150R,
"U1, U2, U3, U4",BTT_TMC2209_V1.3,4,TMC2209_SILENTSTEPSTICK,
