Designator,Mid X,Mid Y,Rotation,Layer
C1,55.1,-38.0,180.0,top
C10,58.0,-36.92,90.0,bottom
C11,70.0,-37.0,90.0,bottom
C12,82.0,-37.0,90.0,bottom
C13,89.0,-74.0,180.0,top
C14,126.2,-42.0,180.0,top
C15,126.2,-46.0,180.0,top
C16,126.2,-38.0,180.0,top
C17,126.2,-34.0,180.0,top
C18,112.0,-74.0,180.0,top
C19,126.2,-59.0,180.0,top
C2,134.0,-44.6,180.0,bottom
C20,126.2,-63.0,180.0,top
C21,126.2,-55.0,180.0,top
C22,126.2,-51.0,180.0,top
C23,89.0,-95.0,180.0,top
C24,126.2,-76.0,180.0,top
C25,126.2,-80.0,180.0,top
C26,126.2,-72.0,180.0,top
C27,126.2,-68.0,180.0,top
C28,112.0,-95.0,180.0,top
C29,126.2,-93.0,180.0,top
C3,134.0,-61.6,180.0,bottom
C30,126.2,-97.0,180.0,top
C31,126.2,-89.0,180.0,top
C32,126.2,-85.0,180.0,top
C4,50.5,-40.6,270.0,bottom
C5,134.0,-78.6,180.0,bottom
C6,134.0,-95.6,180.0,bottom
C7,133.0,-41.2,0.0,bottom
C8,119.0,-41.2,0.0,bottom
C9,105.0,-41.2,0.0,bottom
D1,131.0,-43.0,0.0,top
D10,131.0,-81.0,0.0,top
D11,131.0,-73.0,0.0,top
D12,131.0,-69.0,0.0,top
D13,131.0,-94.0,0.0,top
D14,131.0,-98.0,0.0,top
D15,131.0,-90.0,0.0,top
D16,131.0,-86.0,0.0,top
D2,131.0,-47.0,0.0,top
D3,131.0,-39.0,0.0,top
D4,131.0,-35.0,0.0,top
D5,131.0,-60.0,0.0,top
D6,131.0,-64.0,0.0,top
D7,131.0,-56.0,0.0,top
D8,131.0,-52.0,0.0,top
D9,131.0,-77.0,0.0,top
J1,45.0,-38.0,270.0,top
J10,43.0,-72.0,270.0,top
J11,141.0,-74.92,90.0,bottom
J12,42.0,-37.0,270.0,bottom
J13,141.0,-91.92,90.0,bottom
J14,129.0,-35.0,0.0,bottom
J16,115.0,-35.0,0.0,bottom
J17,101.0,-35.0,0.0,bottom
J2,89.0,-75.92,180.0,top
J3,141.0,-40.92,90.0,top
J4,141.0,-57.92,90.0,top
J5,141.0,-74.92,90.0,top
J6,141.0,-91.92,90.0,top
J7,141.0,-40.92,90.0,bottom
J8,43.0,-55.0,270.0,top
J9,141.0,-57.92,90.0,bottom
L1,126.2,-43.8,0.0,top
L10,126.2,-81.8,0.0,top
L11,126.2,-74.0,0.0,top
L12,126.2,-70.0,0.0,top
L13,126.2,-94.8,0.0,top
L14,126.2,-99.0,0.0,top
L15,126.2,-91.0,0.0,top
L16,126.2,-87.0,0.0,top
L2,126.2,-48.0,0.0,top
L3,126.2,-40.0,0.0,top
L4,126.2,-35.8,0.0,top
L5,126.2,-60.8,0.0,top
L6,126.2,-64.8,0.0,top
L7,126.2,-57.0,0.0,top
L8,126.2,-52.8,0.0,top
L9,126.2,-78.0,0.0,top
R1,134.0,-43.0,180.0,bottom
R10,66.6,-92.6,90.0,top
R11,124.2,-42.8,270.0,top
R12,124.2,-47.0,270.0,top
R13,124.2,-39.0,270.0,top
R14,124.2,-34.8,270.0,top
R15,74.61,-56.0,180.0,top
R16,71.2,-56.0,0.0,top
R17,124.2,-60.0,270.0,top
R18,124.2,-64.0,270.0,top
R19,124.2,-56.0,270.0,top
R2,134.0,-60.0,180.0,bottom
R20,124.2,-52.0,270.0,top
R21,97.61,-56.0,180.0,top
R22,94.2,-56.0,0.0,top
R23,124.2,-77.0,270.0,top
R24,124.2,-80.8,270.0,top
R25,124.2,-73.0,270.0,top
R26,124.2,-69.0,270.0,top
R27,74.61,-77.0,180.0,top
R28,71.2,-77.0,0.0,top
R29,124.2,-94.0,270.0,top
R3,49.0,-41.1,270.0,bottom
R30,124.2,-98.0,270.0,top
R31,124.2,-90.0,270.0,top
R32,124.2,-86.0,270.0,top
R33,97.6,-77.0,180.0,top
R34,94.2,-77.0,0.0,top
R4,134.0,-77.0,180.0,bottom
R5,134.0,-94.0,180.0,bottom
R6,130.2,-41.2,180.0,bottom
R7,116.2,-41.2,180.0,bottom
R8,102.2,-41.2,180.0,bottom
R9,68.5,-92.6,90.0,top
U1,80.0,-64.364831,270.0,top
U2,103.0,-64.364831,270.0,top
U3,80.0,-85.364831,270.0,top
U4,103.0,-85.364831,270.0,top
